bb_id_A,bb_id_B
1129400,2053409
1158833,2055151
1128539,2055153
1126679,2055154
1158877,2055155
1160432,2055155
1144287,2053279
1217013,2055151
1236239,2060451
1236252,2060451
1134228,2060451
275068,2060451
10071,2053226
1036936,2059419
1236231,2060451
1236318,2060451
64010,2060411
1161208,2053225
1137351,2053232
288930,2055559
1158371,2055559
1139888,2059964
1176601,2059960
1174095,2059960
1173133,2059962
1174728,2059961
3816785,2059964
3816797,2059962
1136348,2055294
1161010,2055369
3817668,2054869
1017947,2055563
1141550,2059964
3816774,2059961
1175931,2059963
1160159,2059963
1181705,2055294
1160417,2055369
1159182,2055369
4639510,2058253
3817672,2057454
1017393,2055781
3818163,2057016
3818165,2054006
1234715,2055464
1026042,2057295
3818307,2057292
3818323,2055464
3818324,2055464
1232186,2055464
1159818,2053749
1180315,2053751
3818603,2053751
4640411,2053784
1180314,2053784
1017211,2055781
1130222,2057294
1042223,2057016
3818164,2057723
1042824,2055781
1178838,2057294
1023126,2057292
1017392,2057292
1230082,2055466
3818319,2055464
1017287,2055464
3818321,2055466
1232001,2055464
333878,2053420
1160075,2053420
3819350,2058713
1128315,2058715
1172600,2058713
1172601,2058713
1159117,2058714
1175040,2058712
1160319,2058712
1141888,2060404
221755,2060801
237308,2060404
1168987,2060803
1135482,2060404
3819658,2060801
1217254,2053420
95289,2061969
1149607,2061969
285314,2053403
1230335,2058716
1159116,2058716
3819365,2058715
3819371,2058713
1143100,2058718
1144344,2058713
1142056,2058717
1132031,2058712
1156683,2060801
1128932,2060404
1147470,2060802
1148927,2060496
272247,2054904
1159996,2054906
1175910,2054907
314433,2054904
304254,2054907
1160596,2054907
1173800,2054908
3821759,2054907
1132673,2057760
1175851,2053229
1018223,2053297
252643,2054547
1233443,2055398
1234047,2055403
1031558,2055648
3822198,2055400
1158816,2054905
1134216,2054907
22698,2053229
300923,2053229
322673,2053229
1018253,2053297
1144988,2053297
314740,2053297
324454,2054547
1018243,2054548
267399,2054548
224733,2054547
1134280,2054548
4643030,2055404
1228501,2054585
3822280,2054585
1161327,2059995
4644027,2061836
293786,2057397
1139751,2057397
53534,2054962
332877,2056403
247768,2059995
273505,2057397
3824075,2057397
92669,2060510
62346,2054962
1236496,2060311
1236683,2060456
1187556,2060456
1236344,2060393
1236580,2060394
1039373,2056671
259519,2057112
1016981,2057113
1236016,2060311
1036000,2057113
329459,2057113
251701,2056671
1238773,2062365
1160028,2062230
1018443,2061663
3826878,2054631
3826880,2054632
313330,2054633
294293,2054633
1175812,2054486
1159794,2056013
1171673,2056015
1235446,2060454
1175756,2056014
1175152,2053253
1235557,2060313
1236617,2060313
3830629,2060081
3260901,2060079
300650,2060385
3830909,2060385
1042413,2060385
48824,2055795
80363,2057673
90099,2055798
44681,2054977
1171332,2054919
293438,2056142
320819,2057316
1131794,2054924
298219,2054926
274557,2056424
3261478,2058665
3261480,2058671
3261482,2054923
85015,2054977
223867,2054918
1143316,2054917
49496,2055797
1158714,2054972
1181386,2055794
218831,2054918
59300,2055996
303267,2055997
54479,2057673
1138157,2054974
83920,2055794
1158237,2055796
249056,2057316
3834032,2054922
3261481,2054926
1159087,2058671
225695,2058668
1169369,2054923
44690,2058670
247727,2054918
22517,2054975
52253,2054973
1182679,2057317
1142678,2055997
1015563,2056591
1178418,2060804
1169435,2060342
280837,2060791
1168110,2062409
53605,2057196
591839,2055163
3840146,2060407
330846,2060600
79481,2060595
248020,2060597
1137911,2060699
1146891,2060418
49827,2060407
1177458,2060407
1235760,2060594
3840229,2060418
277618,2060418
44338,2060600
64371,2060418
1236769,2060514
1236527,2060590
64439,2060699
280431,2060513
1016859,2061894
1014590,2061895
309902,2060403
86352,2060403
1236579,2060738
3841845,2060403
1236626,2060597
78084,2060599
84503,2060699
1236768,2060513
64379,2060699
1138358,2061894
260188,2060738
94900,2056427
181800,2054591
1180574,2054580
1031005,2054591
81040,2060348
81042,2060349
1126806,2056427
196876,2056635
196877,2056635
300057,2062023
62539,2054546
62262,2054579
1235373,2060348
81041,2060348
64341,2060349
1161156,2056810
1022011,2056810
1161287,2055761
216912,2055256
241427,2053415
1132922,2055761
238879,2062051
81334,2062051
1155110,2055761
1046490,2055761
1135273,2056810
1217330,2059035
1134971,2061962
1033676,2062019
1016545,2055342
1024712,2057598
1017794,2055342
1176519,2061980
1016458,2055342
1177108,2055342
1119350,2061962
3846043,2058189
8342889,2059705
8342895,2054981
1021938,2056486
1046257,2056231
1171358,2059640
49585,2056667
1174959,2056965
1217341,2056231
3849899,2053426
3849903,2053426
3849907,2053426
64977,2059457
1021881,2059640
1217160,2058401
222359,2062047
1021941,2062047
1042902,2056365
1139865,2056366
58332,2059644
276703,2061909
1151860,2058288
3849809,2053426
3849822,2058401
1117620,2056667
3849906,2056965
64975,2053426
1148321,2058401
